Rank,Year,Title,Artist,Spotify_ID
80,2013,Sure Be Cool If You Did,Blake Shelton,5yIiXdLRE85OBiQmCaUenq
81,2013,#Beautiful,Mariah CareyFeaturingMiguel,
82,2013,Troublemaker,Olly MursFeaturingFlo Rida,
83,2013,Body Party,Ciara,0rFZaQ4crlGAzuCjWCQ2xu
84,2013,Adorn,Miguel,25cUhiAod71TIQSNicOaW3
85,2013,Hall Of Fame,The ScriptFeaturingwill.i.am,
86,2013,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,4kte3OcW800TPvOVgrLLj8
87,2013,U.O.E.N.O.,Rocko FeaturingFuture&Rick Ross,
88,2013,Next To Me,Emeli Sande,1Xsxp1SEOxuMzjrFZhtw8u
89,2013,Mama's Broken Heart,Miranda Lambert,2mXsZsJBThTaJXbNcg5QD4
90,2013,It Goes Like This,Thomas Rhett,6GsAD8PgHxmEuIPTG8GP3M
91,2013,Bugatti,Ace HoodFeaturingFuture&Rick Ross,
92,2013,Wanted,Hunter Hayes,0p1BcEcYVO3uk4KDf3gzkY
93,2013,Downtown,Lady Antebellum,4kY7rYtE4OQkJNq22OIYRI
94,2013,Get Your Shine On,Florida Georgia Line,6s9ICeczYOfbHHIaSMq9jd
95,2013,#thatPOWER,will.i.amFeaturingJustin Bieber,
96,2013,Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn
97,2013,Let Her Go,Passenger,1KxwZYyzWNyZSRyErj2ojT
98,2013,Runnin' Outta Moonlight,Randy Houser,4vlJejZrcujj0nSCqIBeWn
99,2013,I'm Different,2 Chainz,1odwi1SN3pJKENZe12U2OQ
100,2013,Still Into You,Paramore,1yjY7rpaAQvKwpdUliHx0d
1,2014,Happy,Pharrell Williams,60nZcImufyMA1MKQY3dcCH
2,2014,Dark Horse,Katy PerryFeaturingJuicy J,
3,2014,All Of Me,John Legend,3U4isOIWM3VvDubwSI3y7a
4,2014,Fancy,Iggy AzaleaFeaturingCharli xcx,
5,2014,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1
6,2014,Talk Dirty,Jason DeruloFeaturing2 Chainz,
7,2014,Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp
8,2014,All About That Bass,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7
9,2014,Problem,Ariana GrandeFeaturingIggy Azalea,
10,2014,Stay With Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt
11,2014,Timber,PitbullFeaturing Ke$ha,
12,2014,Pompeii,Bastille,3gbBpTdY8lnQwqxNCcf795
13,2014,Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH
14,2014,Am I Wrong,Nico & Vinz,1fidCEsYlaVE3pHwKCvpFZ
15,2014,Turn Down For What,DJ Snake&Lil Jon,67awxiNHNyjMXhVgsHuIrs
16,2014,The Monster,EminemFeaturingRihanna,
17,2014,Say Something,A Great Big World&Christina Aguilera,6Vc5wAMmXdKIAM7WUoEb7N
18,2014,Team,Lorde,3G6hD9B2ZHOsgf4WfNu7X1
19,2014,Let Her Go,Passenger,1KxwZYyzWNyZSRyErj2ojT
20,2014,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
21,2014,Let It Go,Idina Menzel,0qcr5FMsEO85NAQjrlDRKo
22,2014,Wake Me Up!,Avicii,0nrRP2bk19rLc0orkWPQk2
23,2014,Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a
24,2014,Story Of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg
25,2014,Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV
26,2014,Black Widow,Iggy AzaleaFeaturingRita Ora,
27,2014,Bang Bang,"Jessie J,Ariana Grande&Nicki Minaj",0puf9yIluy9W0vpMEUoAnN
28,2014,Latch,DisclosureFeaturingSam Smith,
29,2014,Maps,Maroon 5,4gbVRS8gloEluzf0GzDOFc
30,2014,Loyal,Chris BrownFeaturingLil Wayne&French MontanaOrToo $hortOrTyga,
31,2014,Best Day Of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP
32,2014,Habits (Stay High),Tove Lo,14OxJlLdcHNpgsm4DRwDOB
33,2014,Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05
34,2014,Boom Clap,Charli xcx,0Y1MWB026LYxGvhq4EcMiC
35,2014,Drunk In Love,Beyonce Featuring Jay Z,6jG2YzhxptolDzLHTGLt7S
36,2014,Anaconda,Nicki Minaj,4M7aciOBSbGnh1bN3YbuS0
37,2014,Break Free,Ariana GrandeFeaturingZedd,
38,2014,Bailando,Enrique IglesiasFeaturingDescemer Bueno&Gente De Zona,
39,2014,Burn,Ellie Goulding,5lF0pHbsJ0QqyIrLweHJPW
40,2014,Wiggle,Jason DeruloFeaturingSnoop Dogg,
41,2014,Rather Be,Clean BanditFeaturingJess Glynne,
42,2014,Don't Tell 'Em,JeremihFeaturingYG,
43,2014,Show Me,Kid InkFeaturingChris Brown,
44,2014,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
45,2014,Not A Bad Thing,Justin Timberlake,3nB82yGjtbQFSU0JLAwLRH
46,2014,Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI
47,2014,Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa
48,2014,The Man,Aloe Blacc,4e6ZN0EcEqYx74BTC5xQzy
49,2014,This Is How We Roll,Florida Georgia LineFeaturingLuke Bryan,
50,2014,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg
51,2014,A Sky Full Of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ
52,2014,Don't,Ed Sheeran,6gTJaPuj8DT8RjuDJyBgzP
53,2014,Na Na,Trey Songz,5maiP9UMnTSgoxPX8X3bdz
54,2014,Hot Boy,Bobby Shmurda,0rFke7eNFHbGuGJUdRgjB2
55,2014,"Hold On, We're Going Home",DrakeFeaturingMajid Jordan,
56,2014,Sing,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop
57,2014,Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp
58,2014,My Hitta,YGFeaturingJeezy& Rich Homie Quan,
59,2014,Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9
60,2014,Hey Brother,Avicii,4lhqb6JvbHId48OUJGwymk
61,2014,Trumpets,Jason Derulo,5KONnBIQ9LqCxyeSPin26k
62,2014,Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x
63,2014,Burnin' It Down,Jason Aldean,32FcjEWPn4aSRqJ6loL01b
64,2014,Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT
65,2014,2 On,TinasheFeaturingScHoolboy Q,
